Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Val_Primary,Data Access,Source,Subject_Area,N_AIDM_Elements,Coding_Source
FlightLegNotifRQ (message),AIDX v22.1,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost/Risk,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Delay Code (IATA AHM730),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Delay Duration (minutes),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Scheduled Time of Departure (STD),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Actual Time of Departure (ATD),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Risk,Risk,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Actual Time of Arrival (ATA),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
TPA_Extension (IROPs),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Cost/Risk,Cost,MNAR,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
ELDT (Estimated Landing Time),AIDX v22.1,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
TSAT (Target Start Up Approval Time),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
AOBT (Actual Off-Block Time),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
TOBT (Target Off-Block Time),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Gate Assignment,AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost/Market,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Passenger Count (ops),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Income,Income,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
PAN (Primary Account Number),PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Cardholder Name,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Expiration Date,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Service Code,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Full Track Data,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Card Verification Code,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
PIN / PIN Block,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Cardholder Data Environment (CDE),PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Network Security Controls,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Cost,Cost,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Multi-Factor Authentication,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Cost,Cost,OBSERVED,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Encryption Requirement,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Cost,Cost,OBSERVED,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Audit Log,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Incident Response Plan,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Landing Fee (CAD/tonne MTOW),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Airport Improvement Fee (AIF) — Departing,GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Airport Improvement Fee (AIF) — Connecting,GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
AIF in lieu (per seat),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost/Risk,Cost,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Aircraft Parking Fee (YYZ),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Apron Fee (YYZ),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Slot Holding Fee (YYZ),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Option,Option,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Inflation Adjustment Rate (YYZ),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Market,Market,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Public Landing Area Charge (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Ramp and Apron Charge (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Aircraft Parking / Storage Charge (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Federal Inspection Space Charge (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Passenger Facility Charge (PFC — EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,FAA / PANYNJ,Regulator,Cost,Cost,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Non-Signatory Rate Premium (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Market,Market,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Maximum Allowable Yield (MAY/pax — LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Market,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Airport Charge per Passenger (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,Heathrow Airport Ltd,Airport,Income,Income,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
K Factor (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Market,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
CPI Adjustment (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Market,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
WACC (LHR — 4.01%),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Market,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Airfield Charge per ATM (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,Heathrow Airport Ltd,Airport,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
SAF Incentive (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,Heathrow Airport Ltd,Airport,Option,Option,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
H7 Regulatory Period (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Market,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
grandTotal,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Income,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
base (price),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
fees (SUPPLIER / TICKETING),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Cost,Cost,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
currency,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,Market,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
numberOfBookableSeats,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
lastTicketingDate,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
fareDetailsBySegment (cabin),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,Market,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
fareDetailsBySegment (fareBasis),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,Market,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
fareDetailsBySegment (brandedFare),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Market,Market,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
fareDetailsBySegment (class),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
includedCheckedBags (quantity),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Baggage,1,Manual schema coding (M2/M3)
chargeableSeatNumber,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Income,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
additionalServices (type/amount),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Income,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
instantTicketingRequired,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
source (GDS),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Distribution / GDS,Amadeus,Vendor,Market,Market,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Flight Leg Status (AIDX via SITA),SITA AIDX API (developer.aero),Vendor API,Distribution / GDS,SITA,Vendor,Risk,Risk,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Bag Tag Number,SITA BagJourney API,Vendor API,Distribution / GDS,SITA,Vendor,Risk,Risk,OBSERVED,M3_PoC_Schema,Baggage,1,Manual schema coding (M2/M3)
